,crypto,price,price.1,price.1.1,price.1.1.1,price
82,STORM, 0.003308 , 0.003308 , 5.17 , 5.17 , 0.003309 
83,MCO, 5.17 , 5.17 , 0.004821 , 0.004821 , 5.17 
84,DAC, 0.004821 , 0.004821 , 1.79 , 1.79 , 0.004821 
85,GAS, 1.79 , 1.79 , 5.43 , 5.42 , 1.79 
86,TRB, 5.44 , 5.41 , 0.018055 , 0.018055 , 5.42 
87,EVED, 0.017959 , 0.017959 , 0.093961 , 0.093960 , 0.018056 
88,KICKS, 0.093955 , 0.093956 , 15.74 , 15.74 , 0.093968 
89,CHR, 0.036580 , 0.036581 , 0.036677 , 0.036677 , 0.036585 
90,ONG, 0.130251 , 0.130253 , 0.130165 , 0.130070 , 0.130081 
91,DOT, 132.83 , 132.83 , 133.95 , 133.94 , 133.93 
92,CODEO, 0.656171 , 0.656181 , 0.656209 , 0.656209 , 0.656269 
93,DCR, 16.93 , 16.94 , 16.94 , 16.94 , 16.94 
94,BDP, 0.007940 , 0.007940 , 0.007940 , 0.007940 , 0.007941 
95,WTC, 0.381585 , 0.381496 , 0.381136 , 0.381229 , 0.381829 
96,CVC, 0.029113 , 0.029113 , 0.029114 , 0.029020 , 0.028928 
97,KCS, 0.924424 , 0.924439 , 0.924576 , 0.924478 , 0.924464 
98,CTSI, 0.038943 , 0.038849 , 0.038851 , 0.038851 , 0.038854 
99,AST, 0.065976 , 0.065977 , 0.065980 , 0.066075 , 0.066081 
100,ABT, 0.114182 , 0.114373 , 0.114095 , 0.114189 , 0.114105 
101,PAX, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
