,Unnamed: 0,crypto,price,price.1,price.1.1,price.1.1.1,price.1.1.1.1
0,,,,0.15999999999985448,0.3999999999996362,0.0,0.8600000000005821
1,,,,-0.020000000000010232,0.020000000000010232,0.0,0.030000000000001137
2,,,,0.010000000000005116,0.00999999999999801,-0.00999999999999801,0.00999999999999801
3,,,,0.0,0.0,0.0,0.0
4,,,,-0.12999999999999545,0.07999999999998408,-0.07999999999998408,-0.010000000000019327
5,,,,3.0000000000030003e-06,8.999999999981245e-06,-1.000000000001e-06,1.7000000000017e-05
6,,,,0.0,0.0,0.0,0.0
7,,,,9.500000000001174e-05,3.9999999999901226e-06,0.0,6.0000000000060005e-06
8,,,,0.0,9.999999999975306e-07,0.0,1.0000000000044695e-06
9,,,,0.0,0.009999999999999787,-0.009999999999999787,0.009999999999999787
11,,,,0.0,0.0,0.0,0.0
12,,,,0.030000000000001137,0.009999999999990905,0.010000000000019327,0.0
13,,,,-0.010000000000005116,0.030000000000001137,0.0,0.0
14,,,,0.00999999999999801,0.0,0.0,0.0
15,,,,0.0,0.0,0.0,0.0
16,,,,0.0,9.999999999992654e-07,0.0,9.999999999992654e-07
17,,,,0.0,0.0,0.0,0.0
18,,,,1.000000000001e-06,4.000000000004e-06,0.0,6.999999999993123e-06
19,,,,0.0,0.0,0.0,0.0
20,,,,0.0,0.0,0.0,0.0
22,,,,0.0,0.0,0.010000000000001563,0.0
23,,,,1.000000000001e-06,9.999999999975306e-07,0.0,2.000000000002e-06
24,,,,0.0,9.999999999992654e-07,0.0,9.999999999992654e-07
25,,,,0.0,0.0,0.0,0.0
26,,,,0.00010299999999996423,0.0023839999999999972,-0.0007560000000000344,0.0007070000000000687
27,,,,-0.00037399999999998546,1.2000000000012001e-05,0.00018800000000002148,-7.2000000000072e-05
28,,,,0.00010400000000010401,-6.900000000009676e-05,-1.999999999946489e-06,0.00023799999999996047
29,,,,0.0,0.0,0.0,0.0
30,,,,0.0,0.0,0.0,0.0
31,,,,-0.05999999999994543,4.899999999999977,0.049999999999954525,0.08000000000004093
32,,,,0.00019299999999997097,9.000000000009e-06,-0.0002829999999999777,0.00011499999999994848
33,,,,0.00019499999999994522,0.00011100000000002774,9.499999999995623e-05,3.4000000000034e-05
34,,,,0.0,1.0000000000001327e-06,0.0,0.0
35,,,,0.0,0.0,0.0,0.0
36,,,,0.0,0.010000000000005116,0.0,0.0
37,,,,1.000000000001e-06,5.0000000000050004e-06,0.0,8.999999999995123e-06
38,,,,1.9999999999881224e-06,5.0000000000050004e-06,-9.500000000001174e-05,9.999999999996123e-06
39,,,,0.010000000000005116,0.0,0.00999999999999801,0.0
40,,,,0.0,0.0,0.0,0.0
41,,,,0.00020299999999995322,-6.0000000000060005e-05,9.40000000000385e-05,-2.0999999999937735e-05
42,,,,0.0,0.0,0.0,0.0
43,,,,-8.900000000000574e-05,0.00011099999999997223,-9.999999999732445e-07,-6.399999999995298e-05
44,,,,0.0,0.0,9.500000000000047e-05,0.0
45,,,,0.0,0.0,-0.010000000000000675,0.010000000000000675
46,,,,0.0,0.0,0.0,0.0
47,,,,0.0,0.0,0.0,0.009999999999999787
