BTC,4.89106742231904e-05,-5.7414070274930395e-05,2.8708683419864656e-05,0.00012652723153117051
ETH,0.00021222410865884278,-8.487163165715739e-05,0.0,0.0002970759241183174
LTC,0.0,0.0,0.0,0.00022522522522527844
EOS,0.0,0.0,0.0,0.0
BCH,8.372404554601864e-05,-4.1858518208481854e-05,4.186027041752638e-05,0.00016743407283370537
XRP,-1.5612477492044086e-05,-5.2042404150798305e-05,-0.0004632015030628933,0.00011975923187468318
ETC,0.0,0.0,0.0,0.0
XLM,-0.001311756096213812,-5.5304381489706955e-05,0.0013273785656016113,0.00012427677819326632
TRX,-6.11022852252674e-05,-6.110601894293577e-05,6.110975311668376e-05,0.0001222120378856495
NEO,-0.000914076782449702,0.0,0.0,0.0
,,,,
LINK,0.0,0.0,0.0,0.0
BCHSV,0.00010996261271167818,0.0,0.0,-0.00010995052226503432
DASH,0.0,0.0,0.0,0.00013679890560891472
ZEC,0.00019451468585884868,0.0,0.0,0.0001944768572539335
QTUM,0.0,0.0,0.0,0.0
TFUEL,0.0,0.0,0.0,9.245562130177909e-05
ATOM,-0.0035087719298246833,0.0,0.0,0.0035211267605634866
ADA,0.0012676566461424787,-5.167558070418021e-05,-1.2919562802027329e-05,0.00016795648635037352
KNC,0.0,0.0,0.0,0.0
BNB,0.0,0.0,0.0,0.0
,,,,
XTZ,0.0,0.0,0.0,0.0
ZIL,0.0,-8.306337735686231e-05,4.153513872751091e-05,0.0001246002408936686
BEAM,-0.002977896008895531,0.0016517091862457978,-4.026826719516485e-06,0.0011053683856587782
USDT,0.0,0.0,0.0,0.0
VET,-0.00010526315789483043,0.0,0.0,0.0001052742393936601
ONT,-1.2391727282845544e-05,-5.6648598124264815e-05,0.0001947405878333086,0.00012213167564656402
OKB,0.0,0.0,0.0,0.0
THETA,-1.2059089538718482e-05,-5.6276429823309826e-05,0.00040601709291787635,-0.00025717374095390877
OMG,0.0,0.0,0.0,0.0
YO,-0.00012578616352199035,8.386799178095039e-05,0.0001467566774289164,0.0006288648988574952
IOST,0.0,0.0,0.0,0.000168776371308077
BAT,4.841080529183195e-05,-0.0008845546201474708,-0.0004184432150534656,-0.0002555775391408499
ZRX,0.000301927439491978,0.0004568333292545024,-0.0002609284159198477,0.00041596319949088745
HT,0.0,0.0,0.0,0.0
XMR,0.0,0.0,0.0,0.0
ABBC,5.0201811281347375e-05,-6.023914942310249e-05,0.0,0.00015060694599244862
CRO,4.610887226919047e-05,-5.532809560682139e-05,-9.22185949592258e-06,0.00015677305716677026
CNRG,0.00023934897079946893,0.0004785833931564287,0.0,0.00023917723032762517
WAVES,0.0,0.0,0.0,0.0
XVG,0.0,0.0,0.0,0.0001436781609196469
DOGE,0.0,0.0,0.0,0.0004089979550103706
BNT,4.731199396390551e-05,-5.602471063237413e-05,-0.00012077114242037279,0.0002751922298664944
BCB,0.0,0.0,0.0,-0.0037037037037037646
NULS,0.00025861920333802857,-0.0016777173850591742,2.8776315941003716e-05,-0.0004201221231706631
XZC,-0.004444444444444362,0.0,0.0,0.0
REP,0.0,0.0,0.0,0.000683060109289535
DGB,4.486316733953721e-05,-8.972230945214488e-05,0.0,0.00017946072053476314
BUSD,0.0,0.0,0.0,0.0
ELF,5.263758147866504e-05,0.0007719772266716607,-8.76570156282952e-06,-0.0006661991584853144
LRC,-1.9139671754597742e-05,-4.78500952215688e-05,2.8711430977823582e-05,0.00011484242662040955
GT,0.00022412269970706333,-5.601811999444983e-05,-5.602125820014514e-06,-0.0003678749897293443
GXC,4.819277108425446e-05,-0.003917704992352111,-3.5837027532181764e-06,0.00015947534403659702
ICX,4.811205297139409e-05,-5.41234556020731e-05,-6.01404278988138e-06,0.0001593730924092096
SNT,0.0,-7.73245698820757e-05,3.8665274716631615e-05,0.00011599133931339267
MATIC,0.0,-9.79911807936773e-05,4.900039200306239e-05,0.00014699397324702268
KAVA,0.0,0.0,0.0,0.0
BTG,0.0,0.0,0.0,0.0
TRUE,-1.0772147535420551e-05,-5.74520724040406e-05,2.8727686667062713e-05,0.00012208916099631928
MANA,4.8440224762691386e-05,-7.265681763146681e-05,0.0,0.0001695448930656429
LEO,0.0,0.0,0.0,0.0
IOT,0.0004638300879951096,-5.739995849551871e-05,-4.4156348798507494e-06,0.00015896355760447456
RVN,-5.038798750400808e-05,-5.039052658084575e-05,5.0393065913922896e-05,0.00010078105316213559
MKR,6.86730647070366e-05,-5.15012617808841e-05,3.433594286494923e-05,6.866952789685854e-05
HC,0.0,0.0,0.0,0.0
DEP,0.0,0.0,0.0,0.00010424267695197109
ALGO,4.777789360277396e-05,-0.000872990709815169,-4.347032281026841e-06,0.00016084089358003872
GRIN,4.819373883013789e-05,-5.8231294702615344e-05,-4.016185226496383e-06,0.0003474014173174833
DAC,0.0,0.0,0.0,0.00018986140117727146
BCD,0.000679221360757154,0.0008882542619446099,-3.3489281756615696e-06,0.00015907462106756753
MWC,0.0,0.0,0.0,0.0
BTM,-0.0012931777688374169,-5.754898857657231e-05,-1.4388075163296321e-05,0.00015827110401311906
HYN,0.00026253728708458546,0.00015612343254356453,-4.524610487721681e-06,0.00037101973870257154
GTO,8.116883116859874e-05,-8.116224332421762e-05,0.0,0.00016233766233764158
ENJ,4.7326823265914086e-05,-5.258287060416755e-05,-5.258563570809116e-06,0.0001577577367024574
BTT,0.0,0.0,0.0,0.0
TOMO,-0.0006415931181873447,-0.0006889810015725528,0.000239518813419215,-8.951830201664457e-05
PLF,-1.2120506928114949e-05,-5.575500764798402e-05,-0.00020121407237883027,0.0001236624451703694
